year,month,day,Time,EC/Hour,avgTemp/Hour,Weekday
2015,5,31,6:00,10.45,12,Sunday
2015,5,31,7:00,3.48999999999997,13,Sunday
2015,5,31,8:00,0.100000000000051,15,Sunday
2015,5,31,9:00,0.0999999999999801,16,Sunday
2015,5,31,10:00,0.210000000000008,17,Sunday
2015,5,31,11:00,0.0999999999999801,18,Sunday
2015,5,31,12:00,0.0999999999999801,19,Sunday
2015,5,31,13:00,0.190000000000055,19,Sunday
2015,5,31,14:00,0.0999999999999801,19,Sunday
2015,5,31,15:00,0.0999999999999801,20,Sunday
2015,5,31,16:00,0.210000000000008,20,Sunday
2015,5,31,17:00,0.0999999999999801,19,Sunday
2015,5,31,18:00,0.100000000000051,19,Sunday
2015,5,31,19:00,0.189999999999984,18,Sunday
2015,5,31,20:00,2.80000000000001,17,Sunday
2015,5,31,21:00,0.109999999999957,17,Sunday
2015,5,31,22:00,3.09000000000005,16,Sunday
2015,5,31,23:00,5,15,Sunday
2015,6,1,0:00,2.65999999999998,15,Monday
2015,6,1,1:00,0.150000000000006,15,Monday
2015,6,1,2:00,0.0999999999999801,14,Monday
2015,6,1,3:00,0.189999999999984,14,Monday
2015,6,1,4:00,0.100000000000051,13,Monday
2015,6,1,5:00,0.899999999999963,14,Monday
2015,6,1,6:00,6.70000000000002,15,Monday
2015,6,1,7:00,0.0999999999999801,16,Monday
2015,6,1,8:00,0.210000000000008,18,Monday
2015,6,1,9:00,0.0999999999999801,19,Monday
2015,6,1,10:00,0.150000000000006,20,Monday
2015,6,1,11:00,0.140000000000029,20,Monday
2015,6,1,12:00,0.0999999999999801,21,Monday
2015,6,1,13:00,0.100000000000051,21,Monday
2015,6,1,14:00,0.0999999999999801,21,Monday
2015,6,1,15:00,0.210000000000008,21,Monday
2015,6,1,16:00,0.0999999999999801,20,Monday
2015,6,1,17:00,0.0999999999999801,20,Monday
2015,6,1,18:00,0.0900000000000034,19,Monday
2015,6,1,19:00,1.31,18,Monday
2015,6,1,20:00,1.34,17,Monday
2015,6,1,21:00,0.150000000000006,16,Monday
2015,6,1,22:00,1.80999999999997,15,Monday
2015,6,1,23:00,4.20000000000002,15,Monday
2015,6,2,0:00,0.0999999999999801,15,Tuesday
2015,6,2,1:00,0.200000000000031,15,Tuesday
2015,6,2,2:00,0.0900000000000034,15,Tuesday
2015,6,2,3:00,0.0999999999999801,14,Tuesday
2015,6,2,4:00,0.200000000000031,14,Tuesday
2015,6,2,5:00,1.29999999999995,15,Tuesday
2015,6,2,6:00,5.81000000000003,15,Tuesday
2015,6,2,7:00,0.189999999999984,16,Tuesday
2015,6,2,8:00,2.31000000000002,17,Tuesday
2015,6,2,9:00,0.140000000000029,18,Tuesday
2015,6,2,10:00,0.150000000000006,19,Tuesday
2015,6,2,11:00,0.0999999999999801,20,Tuesday
2015,6,2,12:00,0.109999999999957,21,Tuesday
2015,6,2,13:00,0.100000000000051,22,Tuesday
2015,6,2,14:00,0.19999999999996,22,Tuesday
2015,6,2,15:00,0.0900000000000034,22,Tuesday
2015,6,2,16:00,0.0999999999999801,22,Tuesday
2015,6,2,17:00,0.200000000000031,21,Tuesday
2015,6,2,18:00,0.110000000000028,21,Tuesday
2015,6,2,19:00,0.0999999999999801,20,Tuesday
2015,6,2,20:00,0.0999999999999801,20,Tuesday
2015,6,2,21:00,1.29000000000005,19,Tuesday
2015,6,2,22:00,0.209999999999937,18,Tuesday
2015,6,2,23:00,1.8,19,Tuesday
2015,6,3,0:00,1.50000000000006,19,Wednesday
2015,6,3,1:00,0.0999999999999801,19,Wednesday
2015,6,3,2:00,0.19999999999996,19,Wednesday
2015,6,3,3:00,0.0900000000000034,18,Wednesday
2015,6,3,4:00,0.100000000000051,18,Wednesday
2015,6,3,5:00,0.899999999999963,19,Wednesday
2015,6,3,6:00,2.80999999999999,19,Wednesday
2015,6,3,7:00,1.05000000000004,20,Wednesday
2015,6,3,8:00,0.139999999999958,20,Wednesday
2015,6,3,9:00,0.100000000000051,21,Wednesday
2015,6,3,10:00,0.0999999999999801,22,Wednesday
2015,6,3,11:00,2.79000000000003,23,Wednesday
2015,6,3,12:00,0.0999999999999801,24,Wednesday
2015,6,3,13:00,0.219999999999985,24,Wednesday
2015,6,3,14:00,0.0900000000000034,24,Wednesday
2015,6,3,15:00,2.98999999999999,25,Wednesday
2015,6,3,16:00,0.0999999999999801,25,Wednesday
2015,6,3,17:00,0.120000000000005,24,Wednesday
2015,6,3,18:00,4.59000000000003,23,Wednesday
2015,6,3,19:00,3.90000000000001,22,Wednesday
2015,6,3,20:00,7.5,21,Wednesday
2015,6,3,21:00,5.71000000000005,20,Wednesday
2015,6,3,22:00,8.28999999999994,19,Wednesday
2015,6,3,23:00,5.48999999999992,18,Wednesday
2015,6,4,0:00,6.22000000000014,18,Thursday
2015,6,4,1:00,0.0899999999998613,17,Thursday
2015,6,4,2:00,0.200000000000102,17,Thursday
2015,6,4,3:00,0.0999999999999091,16,Thursday
2015,6,4,4:00,0.190000000000055,16,Thursday
2015,6,4,5:00,4.60999999999999,16,Thursday
2015,6,4,6:00,16.5000000000001,17,Thursday
2015,6,4,7:00,9.58999999999989,17,Thursday
2015,6,4,8:00,0.200000000000102,19,Thursday
2015,6,4,9:00,0.159999999999911,20,Thursday
2015,6,4,10:00,2.13999999999999,22,Thursday
2015,6,4,11:00,0.200000000000102,23,Thursday
2015,6,4,12:00,0.0999999999999091,24,Thursday
2015,6,4,13:00,0.110000000000099,25,Thursday
2015,6,4,14:00,0.0999999999999091,25,Thursday
2015,6,4,15:00,0.200000000000102,25,Thursday
2015,6,4,16:00,0.0999999999999091,25,Thursday
2015,6,4,17:00,0.0900000000000034,25,Thursday
2015,6,4,18:00,0.100000000000051,24,Thursday
2015,6,4,19:00,0.220000000000056,23,Thursday
